,user_id,rt_count,user_name
133, 1242470755989929984,16,PointofStories
134, 2452410832,16,pg_saavedra
135, 69264083,16,fearoffreedom
136, 3881055977,16,TiAmoNtombonina
137, 820040258062524418,16,ziza_jr
138, 120208602,16,hussain1968
139, 201270123,16,Zoniman
140, 1143061931491614720,16,derek69303373
141, 1170837786384949248,16,ShahYezzi
142, 1231941759137021954,16,Dudda78875532
143, 1142674267466850305,16,RumanaSyed4
144, 2271704183,16,Milindsingh19
145, 1234671336481419265,16,Prairieswiseki1
146, 196607761,15,DanielleDuches
147, 1102697133440929798,15,MichellDsilva
148, 817249135526936577,15,murimi_lincoln
149, 389919115,15,AnttiHarjula
150, 258322914,15,Vanescaliente
151, 2676098130,15,iamKhaeAltea
152, 2814630924,15,sudeepkhatri
153, 4657017676,15,mandyjanevernon
154, 1192142544425099269,15,PRqoSJdyofN1yLj
155, 1064051075194351617,14,AMITAVAKAR19
156, 795397101018578944,14,costaseas1
157, 1031621832,14,rupaab314
158, 734562226191769600,14,emilioarturohe3
159, 81390317,14,DEXTHEMUSICMAN
160, 952247125185720320,14,NaattuVarthakal
161, 45243327,14,johnOkillens
162, 480558005,14,BattiStephen
163, 1389986600,14,speedy_da
164, 1139148579023597576,14,JahanzebJazzy1
165, 2345470167,14,dhillos318
166, 631276911,14,142857Frog
167, 480281241,14,BorisLeovic
168, 34865030,13,nbizket
169, 1149989155604185091,13,miriamcancelli1
170, 3255255986,13,Skyhawk313
171, 54191026,13,yudaoktavianto
172, 933793680,13,mystywtrs
173, 1210690897756733443,13,Seantkeenan2
174, 32851301,13,miyakilee
175, 138320520,13,tyrannywatch
176, 1173243969423253504,13,Sora13518304
177, 1255105406260527105,13,ThePhoe36683468
178, 50223678,13,calebmaupin
179, 829355624,13,_alexitimiko
180, 94098216,13,Kaimarah
181, 1863587016,13,MICHAELINLA333
182, 1020634271114022912,13,sorrlly
183, 822812130797899776,13,TBori69
184, 4862608154,12,CzechBoiirose
185, 935514351020019712,12,NSeth9
186, 1327354904,12,hassany1989
187, 4349319077,12,mdoe_f
188, 2849902291,12,JCitraj
189, 247413006,12,AndresParamo
190, 9889202,12,seamusphan
191, 991472195795935232,12,Cheryl48943188
192, 3133636464,12,rosawati47
193, 2393365656,12,JJosie411
194, 1103117516,12,EdwardGerwer
195, 2823941941,12,javedm101
196, 1222209422740676616,12,Poulidis68gmai2
197, 146557695,12,sousasimoni
198, 2428658977,12,QueenOfTheWilis
199, 262822001,12,alloverthemapMG
200, 1097503766935470087,12,BlackHa09195037
201, 1251584321351188480,12,ThereAndBackAgn
202, 410981056,12,YaNata0904
203, 781282626,12,AlSondel23_
204, 1129682624199503872,12,popo13301856
205, 1243073377088094209,12,Brandon77359469
206, 756643373847572480,12,Liberty5380
207, 1081272892476801024,12,JuliusMigayi
208, 1071090870479478785,12,laxmans30698197
209, 2923604990,11,anotokiwainoki
210, 2241763754,11,Goosinater
211, 928712572471336960,11,BrendaHazelhur1
212, 7455282,11,mj_santos
213, 953948363199688705,11,lauzi_garrison
214, 1134241118273593344,11,O_that_Adeel
215, 1318445515,11,c_chris10
216, 724869612,11,Adn_Csk
217, 1051561929054011393,11,ws599
218, 1187391589943042048,11,LeftLeftfooter
219, 3318025142,11,jane_hassell
220, 1114963513032761344,11,mi_tlatoani
221, 742448555927822336,11,Forgotten1986
222, 1236001286081798146,11,RobZee14
223, 106029646,11,sw33kl
224, 764422582741323777,11,XMto118
225, 515114024,11,AldoZEstevez
226, 3326667058,11,PacioJanse
227, 735579023946944512,11,WanayalAhparyam
228, 1170946454657126401,11,vil_Delia
229, 217197823,11,gazzahead
230, 44073163,11,greenLibrtarian
231, 176087555,11,shipa123
232, 1221995649308061698,11,KBittermanGross
233, 15484198,10,georgegalloway
234, 618645105,10,GaiusJulii
235, 4017099076,10,VladimirJosifo1
236, 357916499,10,bankrot_59ru
237, 1226431330692415490,10,er_st0
238, 2662088239,10,lilDaveeeee
239, 2371830000,10,CivicDuty1776
